Fold,Accuracy,Precision (Macro),Precision (Weighted),Recall (Macro),Recall (Weighted),F1-Score (Macro),F1-Score (Weighted),AUC-ROC (OvR),AUC-ROC (Weighted),AUPRC (Macro),AUPRC (Weighted)
1,0.896,0.8624703175630265,0.8945801434155458,0.8429868355702065,0.896,0.8508596144492042,0.8943379342418446,0.953808072389754,0.969194552226824,0.799946473499601,0.8533421387450109
2,0.8945,0.8554655376102388,0.894306404852312,0.8481909492701191,0.8945,0.8497911961508631,0.8933128649629404,0.9663150790065178,0.9767041553395839,0.8278164243183831,0.8761308853159671
3,0.889,0.8556245901794385,0.8885407014703599,0.8382090546931499,0.889,0.8451646080000222,0.8874386821910102,0.9609385504695765,0.9721944492419675,0.8052960345223708,0.8558920433158067
4,0.887,0.853542579161385,0.8869355841996279,0.8408876457281137,0.887,0.8460703401296571,0.8860812595768542,0.960097541340595,0.9708907991667888,0.8143534443469609,0.858575130649872
5,0.8925,0.8562816295225072,0.8925473620027262,0.8394939860114962,0.8925,0.8459911047427141,0.8913305125063579,0.9575925141581145,0.9711502619539718,0.8126286290273843,0.8666576222720527
Mean,0.8917999999999999,0.8566769308073192,0.8913820391881144,0.841953694254617,0.8917999999999999,0.8475753726944921,0.8905002506958015,0.9597503514729115,0.9720268435858272,0.8120082011429399,0.8621195640597419
Std,0.0037516662964608045,0.0033955355881793653,0.003463449308156475,0.003910872046418316,0.0037516662964608045,0.0025633440985139574,0.003613469001811705,0.004598775593286992,0.002827817334951957,0.010563184544619937,0.009291115563433362
